Author,Type,Year,OriginalAuthor,Title,SentenceNr,Sentence,Emotion
Grimm,Wikipedia,2014,Grimm,Die drei Federn,18,"In der festen Überzeugung, Gustav werde im Wald schon keinen Ring finden, gehen Gerhard und Gebhard wieder ins Wirtshaus.",approval
Grimm,Wikipedia,2014,Grimm,Die drei Federn,19,"Während Gebhard fürstlich speist, besorgt Gerhard einen Ring, indem er ihn einem alten Mann von der Pfeife stiehlt.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,20,Gustav folgt währenddessen seiner Feder wieder in den Wald.,neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,21,"Dort trifft er am Fluss ein blondes, barfüßiges junges Mädchen, das ein hellgrünes Kleid und einen dunkelgrünen Umhang mit Kapuze trägt.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,22,Auf ihrem Schoß sitzt ein schwarz-weiß geschecktes Kaninchen.,neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,23,Gustav gesellt sich zu ihr und die beiden beginnen ein Gespräch über das Kaninchen.,neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,24,"Es stellt sich heraus, dass Gustav dieses Kaninchen damals aufgezogen hat und sein Vater es anlässlich seines 60.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,25,Geburtstages nun zubereiten lassen wollte.,neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,26,"Das blonde Mädchen hatte dies verhindert, indem es dem Koch das Kaninchen kurz vor dem Schlachten gestohlen hatte.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,27,"Als ein Wächter des Fürsten vorbeikommt, verrät Gustav das blonde Mädchen nicht an ihn, dennoch möchte sie Gustav weder ihren Namen verraten noch ihr Gesicht zeigen.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,28,"Beide übergeben das Kaninchen in die Freiheit des Waldes, und Gustav zieht zur Kröte Itsche weiter.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,29,Er dankt ihr für den Teppich und äußert nun den Wunsch nach dem Ring.,gratitude
Grimm,Wikipedia,2014,Grimm,Die drei Federn,30,"Daraufhin öffnet Itsche ihr Maul, und ein dicker mit Diamanten und Brillanten geschmückter Goldring, der wie ein Sonnenstrahl glänzt, präsentiert sich auf ihrer Zunge.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,31,"Gustav nimmt ihn mit und bringt ihm seinem Vater, der erbost über den Ring ist, den er von Gerhard bekommen hat, da er diesen mit den Fingern hat verbiegen können.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,32,"Von Gustavs Ring ist er dagegen so begeistert, dass sein Herz beinahe vor Glück stehen bleibt.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,33,"Doch Gustavs Brüder und Julius überzeugen ihn erneut, dass er Gustav nicht ernennen soll.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,34,Bald darauf stellt Julius an der Seite des ruhenden Fürsten eine letzte Aufgabe.,neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,35,Diesmal soll die schönste Braut gefunden werden.,admiration
Grimm,Wikipedia,2014,Grimm,Die drei Federn,36,"Wer sie bringt, soll Fürst werden.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,37,"Julius wirft drei Federn in den Wind, und die zwei Federn nach Ost und West führen Gerhard und Gebhard wieder zum Denkmal, und die dritte Feder führt Gustav wieder in den Wald.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,38,"Während nun Gerhard zwei ordinäre Bauerntöchter für sich und seinen Bruder erwählt, sucht Gustav die Kröte auf und erklärt ihr den dritten Wunsch seines Vaters.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,39,"Jedoch hat er selbst diese Aufgabe schon halb gelöst, da er das blonde, barfüßige junge Mädchen in grünem Kleid und Umhang, das er zuvor am Fluss getroffen hat, im Sinn hat.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,40,Mit einem Zauber führt die Kröte Itsche ihn zu ihr und die beiden reiten auf einem braunen Ross zum fürstlichen Vater Gundolf.,neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,41,"Nachdem diesen die wenig reizvollen Bräute seiner älteren Söhne wenig überzeugen konnten, ist er entzückt von dem blonden, barfüßigen jungen Mädchen in grünem Kleid an Gustavs Seite.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,42,"Ein letztes Mal versuchen Gustavs Brüder und Julius, den Fürsten gegen Gustav aufzubringen, und Julius behauptet, die Schönheit an Gustavs Seite stamme nicht aus des Fürsten Reich.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,43,"Doch als sie erklärt, dass sie aus dem Wald zwischen Schloss und Dorf komme, verkündet Fürst Gundolf, dass Gustav alle drei Aufgaben zu seiner Zufriedenheit erfüllt habe.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,44,Den intriganten Hofmeister Julius sowie Gerhard und Gebhard schickt Fürst Gundolf zum Arbeiten in den Pferdestall und lässt seinen Sohn Gustav als seinen Nachfolger auf dem Thron Platz nehmen.,neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,45,In der Schlussszene sieht man Gustav und Barbara lange Hand in Hand vor dem Fürstenschloss tanzen.,neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,1,"Schneewittchen

In einem friedlichen Königreich kommt während eines Schneesturms eine Prinzessin zur Welt, die zur Erinnerung an diesen Tag den Namen Schneewittchen erhält.",excitement
Grimm,Wikipedia,2025,Grimm,Schneewittchen,2,"Jahre später, nachdem die Königin krank wurde und gestorben ist, nimmt sich der König eine schöne Adlige zur zweiten Frau.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,3,Die neue Königin warnt vor einem bevorstehenden Angriff.,neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,4,"Der König macht sich auf, diesen abzuwehren, kehrt jedoch nie zurück.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,5,Danach entpuppt sich die Königin als eitle und böse Seele.,annoyance
Grimm,Wikipedia,2025,Grimm,Schneewittchen,6,Jahre später leiden die Untertanen unter zu hohen Steuern und es herrschen Elend und Armut.,disappointment
Grimm,Wikipedia,2025,Grimm,Schneewittchen,7,"Schneewittchen, jetzt eine junge Frau, wurde zu einem Küchenmädchen degradiert.",disapproval
Grimm,Wikipedia,2025,Grimm,Schneewittchen,8,"Die böse Königin, die stolz auf ihre Schönheit ist, erfährt von ihrem Zauberspiegel, dass Schneewittchen nun die Schönste des Landes ist.",admiration
Grimm,Wikipedia,2025,Grimm,Schneewittchen,9,"Schneewittchen lernt bald einen gutaussehenden Banditen namens Jonathan kennen, als dieser aus der Speisekammer des Schlosses Essen für sich und seine Freunde stehlen will.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,10,Sie lässt ihn mit etwas Essen fliehen.,neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,11,"Schneewittchen bittet ihre Stiefmutter, die Untertanen freundlich zu behandeln, aber der Königin ist dies gleichgültig.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,12,"Die böse Königin befiehlt, eifersüchtig auf die Schönheit Schneewittchens, einem Jäger, sie hinzurichten und ihr Herz in einem juwelenbesetzten Kästchen zurückzubringen.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,13,Der Jäger warnt Schneewittchen stattdessen vor den Absichten ihrer Stiefmutter.,neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,14,"Aus Angst um ihr Leben flieht Schneewittchen in den Wald, wo sie auf die Tiere des Waldes trifft, die sie in eine abgelegene Hütte führen.",fear
Grimm,Wikipedia,2025,Grimm,Schneewittchen,15,"Schneewittchen weiß nicht, dass die Hütte den sieben Zwergen namens Brummbär, Chef, Happy, Hatschi, Pimpel, Schlafmütz und Seppl gehört, die alle ihre Tage in einer Diamantenmine verbringen.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,16,"Sie finden sie schlafend in ihren Betten und haben Mitleid mit ihr, als sie ihnen von ihrer Notlage erzählt.",sadness
Grimm,Wikipedia,2025,Grimm,Schneewittchen,17,"Als die Königin erfährt, dass Schneewittchen lebt, sperrt sie den Jäger ein und befiehlt ihren Wachen, Schneewittchen zu suchen.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,18,Schneewittchen und Jonathan treffen sich im Wald wieder und wehren sich zusammen mit den Dieben gegen die Wachen.,neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,19,"Die beiden erkennen ihre Gefühle füreinander, bevor Jonathan aufbricht, um den König zu suchen, von dem Schneewittchen glaubt, dass er noch am Leben ist.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,20,Jonathan wird von den Wachen gefangen genommen und eingekerkert.,neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,21,"Die Königin, die Schneewittchens Aufenthaltsort mittlerweile herausgefunden hat, zieht sich in ihre geheimen Gemächer zurück.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,22,"Sie verwandelt sich in eine ältere Frau und erschafft einen vergifteten Apfel, um Schneewittchen mit dem Fluch des schlafenden Todes zu belegen.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,23,"Nachdem die Zwerge zur Arbeit gegangen sind, findet die Königin ihr Häuschen und bringt Schneewittchen dazu, den Apfel zu essen, indem sie behauptet, sie sei eine Verbündete von Jonathan.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,24,"Dann offenbart sie ihrer Stieftochter, dass sie ihren Vater getötet hat, indem sie ihn dazu gebracht hat, einen Feldzug gegen eine Bedrohung im Süden zu führen, bevor Schneewittchen in den schlafenden Tod fällt und die Königin sich in ihr Schloss zurückzieht.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,25,Die Zwerge finden ihren schlafenden Körper bei ihrer Rückkehr.,neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,26,"Jonathan, der mit Hilfe des Jägers aus dem Kerker der Königin entkommen ist, kommt vorbei und küsst Schneewittchen als Dank dafür, dass sie ihm den Glauben an die Zukunft des Königreiches zurückgegeben hat.",gratitude
Grimm,Wikipedia,2025,Grimm,Schneewittchen,27,"Schneewittchen erwacht und schart die Zwerge und Jonathans Freunde um sich, um die böse Königin zu stürzen.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,28,"Während die Zwerge, Diebe und Zivilisten gegen die Wachen kämpfen, sagt der Spiegel der Königin, dass Schneewittchen schöner ist als sie, weil es freundlich und gerecht ist.",admiration
Grimm,Wikipedia,2025,Grimm,Schneewittchen,29,"Als Schneewittchen in die Kammer tritt, sieht sie, wie die Königin den Spiegel zerstört, der sich als die Quelle ihrer Kräfte erweist.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,30,"Daraufhin verwandelt sie sich selbst in Glas und verschwindet in einem Strudel, während der Zauberspiegel sich selbst repariert.",neutral
Grimm,Wikipedia,2025,Grimm,Schneewittchen,31,Schneewittchen wird zur neuen Königin gekrönt und regiert das Land mit gerechter Hand.,optimism
Grimm,Wikipedia,2025,Grimm,Schneewittchen,32,Sie und Jonathan heiraten bald.,neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,1,"Hans im Glück

Nach sieben Jahren Lehre bei einem Gewürzhändler möchte Hans zu seiner Mutter ans Meer zurückkehren.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,2,Nur ungern lässt der Händler den klugen jungen Mann gehen.,disappointment
Grimm,Wikipedia,2015,Grimm,Hans im Glück,3,Als Lohn für seinen Dienst erhält Hans einen Klumpen aus purem Gold.,neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,4,Froh gelaunt und singend macht er sich auf den langen Weg zum Meer.,neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,5,"Unterwegs trifft er auf den Händler Knudsen und dessen Tochter Elisabeth, die auf dem Weg nach Buxtehude sind und dort Handel treiben wollen.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,6,"Hans macht großen Eindruck auf Elisabeth, und der Zufall will es, dass er sie mehrfach wiedertreffen wird.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,7,"Der Goldklumpen erweist sich schon bald als sehr unangenehm für die Reise, so dass Hans die erste Gelegenheit für einen Tausch beim Schopf packt und anstelle des Goldes ein Pferd erhält.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,8,"Glücklich nicht mehr selber laufen zu müssen, schneller voranzukommen und nicht mehr schwer tragen zu müssen, reitet Hans davon.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,9,"Doch schon bald ist er mit seinem Tausch nicht mehr zufrieden, denn er kann mit dem Pferd nicht richtig umgehen, und so wirft es ihn nach einem flotten Galopp ab.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,10,"Als ein Bauer mit einer Kuh daherkommt, beneidet Hans den Mann, so ein stattliches, starkes Tier zu besitzen, das auch noch Milch geben kann, und tauscht das Pferd gegen die Kuh.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,11,"Vor einem Wirtshaus trifft Hans Elisabeth und ihren Vater wieder, die hier zur Rast eingekehrt sind.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,12,"Elisabeth ist verwundert, dass Hans statt eines Goldklumpens nur noch eine Kuh besitzt, die doch offensichtlich viel weniger wert ist als ein großer Klumpen Gold.",surprise
Grimm,Wikipedia,2015,Grimm,Hans im Glück,13,"Sie meint, er hätte schlecht getauscht, doch er erwidert: „Was kümmert es mich, was es anderen wert ist?",confusion
Grimm,Wikipedia,2015,Grimm,Hans im Glück,14,Mich muss es glücklich machen.,joy
Grimm,Wikipedia,2015,Grimm,Hans im Glück,15,"Warum soll ich mich ärgern und plagen mit etwas, was mich nur hemmt?“ Das leuchtet Elisabeth ein.",annoyance
Grimm,Wikipedia,2015,Grimm,Hans im Glück,16,"Gemeinsam setzen sie sich ins Wirtshaus, wo gerade ein Fest gefeiert wird, trinken etwas, sind fröhlich und tanzen miteinander.",joy
Grimm,Wikipedia,2015,Grimm,Hans im Glück,17,Danach zieht jeder seiner Wege.,neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,18,Hans will am Ende des Tages etwas Milch von seiner Kuh zum Trinken haben.,neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,19,"Erst jetzt bemerkt er, dass das Tier gar keine Milch gibt, und so tauscht er die nun für ihn wertlose Kuh gegen ein Schwein.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,20,"Glücklich mit seinem Tausch zieht er seines Weges und trifft auf Karl, der die Einfältigkeit von Hans erkennt und ihm einfach erzählt, dass das Schwein gestohlen wäre, und ihm deshalb seine Gans für das Schwein gibt.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,21,"Auf seinem weiteren Weg begegnet Hans einem Scherenschleifer, der ihm die Vorteile seines Handwerksberufs in den höchsten Tönen schildert.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,22,"Als Scherenschleifer würde man der glücklichste Mensch der Welt sein, und schon ist Hans bereit, seine Gans für einen alten Schleifstein zu tauschen.",joy
Grimm,Wikipedia,2015,Grimm,Hans im Glück,23,"Aber auch dieser Tausch macht ihn nicht zufrieden, schnell ist ihm das Gewicht des Steins lästig, da dieser ebenso schwer ist wie der anfangs von ihm eingetauschte Goldklumpen.",disappointment
Grimm,Wikipedia,2015,Grimm,Hans im Glück,24,Nur noch mühsam kommt er auf seinem Weg voran.,neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,25,"Als er einen Brunnen am Wegesrand sieht und trinken will, fällt ihm der Schleifstein hinein.",neutral
Grimm,Wikipedia,2015,Grimm,Hans im Glück,26,"Er steht nun zwar mit leeren Händen da, fühlt sich aber trotzdem glücklich und frei.",joy
Grimm,Wikipedia,2015,Grimm,Hans im Glück,27,"So unbeschwert setzt Hans seinen Weg fort und gelangt endlich ans Meer, wo er unverhofft Elisabeth wiedertrifft und sich freut, sein Glück mit ihr teilen zu können.",joy
Grimm,Wikipedia,1962,Grimm,König Drosselbart,1,"König Drosselbart

Eine hübsche, etwas hochmütige Königstochter verspottet alle Bewerber, die um ihre Hand anhalten.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,2,"Als wieder einmal einige Aristokraten vorsprechen, hat sie für jeden von ihnen eine spöttische Bemerkung, so auch für den reichen König von Aland, den sie wegen seines Bartes als „König Drosselbart“ verhöhnt.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,3,"König Pompus, der Vater der Prinzessin, der nicht nur des Regierens müde ist und seine Tochter endlich verheiraten möchte, auch weil ihm das Geld langsam ausgeht, reagiert diesmal mit Unverständnis und beschießt, der Prinzessin einen Denkzettel zu verpassen, und sie dem ersten Bettler, der am nächsten Morgen am Schloß vorbeikommen sollte, zur Frau zu geben.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,4,"Der König von Aland, der diese Drohung mit angehört hat, fasst daraufhin einen Plan.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,5,Er verkleidet sich als fahrender Sänger und Bettelmann und ist am nächsten Morgen zur Stelle.,neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,6,"Der König, der sich an seinen Schwur gebunden fühlt, gibt ihm daraufhin seine Tochter zur Frau.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,7,"Die Prinzessin, die eigentlich nicht daran geglaubt hatte, dass ihr Vater sie mit einem Bettler vermählen würde, ist bestürzt, traurig und ratlos.",sadness
Grimm,Wikipedia,1962,Grimm,König Drosselbart,8,Nach einer schnellen Trauung macht sie sich mit ihrem Mann auf zu ihrem neuen Heim.,sadness
Grimm,Wikipedia,1962,Grimm,König Drosselbart,9,"In einem prächtigen Park unterwegs will die Prinzessin wissen, wem dieser gehöre, ihr Mann antwortet schadenfroh: „König Drosselbart“.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,10,"Die Prinzessin meint daraufhin: „Oh, ich arme Jungfrau zart, hätt ich genommen den König Drosselbart.“ Dieses Spiel wiederholt sich mehrmals, als sie die Reichtümer des Königs von Aland passieren.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,11,"Der König von Aland hat beschlossen, der Prinzessin, einen Denkzettel zu verpassen und ihr zu zeigen, dass es nicht nur das Leben gibt, das sie bisher gewohnt war.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,12,"Ab sofort muss sie hart arbeiten, Personal, das ihr lästige Dinge abnimmt gibt es zum Entsetzen der jungen Frau nicht.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,13,"Wider Erwarten fügt sie sich aber in ihr Schicksal und versucht ihr Bestes, um die Aufgaben, die ihr Mann ihr stellt, zu bewältigen.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,14,"Nach einigen Versuchen von ihr nicht besonders gut geflochtene Körbe und Geschirr an die Menschen zu verkaufen, verdingt sie sich auf Wunsch ihres Mannes ausgerechnet im Schloss des Königs von Aland, wo sie als Küchenmagd alle anfallenden Arbeiten mit großem Eifer verrichtet.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,15,"Inzwischen ist sie zu einer liebenswerten und hilfsbereiten jungen Frau gereift, die von allen im Schloss gemocht wird.",admiration
Grimm,Wikipedia,1962,Grimm,König Drosselbart,16,"König Drosselbart, respektive der König von Aland, hält die Zeit nun für gekommen, sich seiner Frau zu offenbaren und ihr zu zeigen, mit wem sie tatsächlich verheiratet ist.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,17,"Diese Eröffnung verschreckt die junge Frau so sehr, dass sie erst einmal flieht.",fear
Grimm,Wikipedia,1962,Grimm,König Drosselbart,18,"Der König von Aland hat auch König Pompus zu einem prachtvollen Fest geladen, an dem er die Hochzeit mit seiner Frau standesgemäß wiederholen und König Pompus wieder mit seiner Tochter zu vereinen will.",neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,19,Der Vater der Prinzessin reagiert ähnlich fassungslos wie seine Tochter.,neutral
Grimm,Wikipedia,1962,Grimm,König Drosselbart,20,"Diese hat sich jedoch inzwischen beruhigt und erscheint an der Seite des Königs von Aland festlich gekleidet und strahlend, um ihren Vater in die Arme zu schließen.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,1,"Gevatter Tod

Görlitz um 1500: Der arme Bauer Hans Kläusle sucht für sein 13.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,2,Kind Jörg einen Gevatter.,neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,3,"Nachdem er die Angebote von Gott und Teufel abgelehnt hat, da der eine nur die Reichen satt mache und der andere seinen Sohn verführen würde, wählt er den Tod als Paten für seinen Sohn aus.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,4,Der lässt sein Patenkind später an den Universitäten von Perugia und Casablanca Medizin studieren.,neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,5,Als Arzt wird er bald ein berühmter und reicher Stadtmedicus.,neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,6,"Nach einer Abmachung mit seinem Gevatter darf er alle Patienten heilen, bei denen er den Tod an ihrem Kopf, nicht aber bei ihren Füßen stehen sieht, denn „Wenn es aus ist, ist es aus.“ In der Stadt bricht um 1530 die Pest aus.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,7,"Jörg rettet das Leben des kleinen Krakauer Jungen Stanislaus, dessen Mutter und Vater zuvor gestorben sind.",grief
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,8,Der Bürgermeister der Stadt erkrankt kurz darauf schwer und soll nach dem Willen des Todes ebenfalls sterben.,neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,9,"Jörg überlistet den Tod, in dem er den Bürgermeister mit den Füßen an das Kopfende des Krankenbettes legt.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,10,"Der Tod sieht darüber hinweg, warnt ihn aber, das kein zweites Mal zu versuchen.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,11,"Bei einem anschließenden Fest wird Jörg feierlich in die Bürgerschaft aufgenommen und lernt Barbara, die Tochter des Bürgermeisters kennen, in die er sich verliebt.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,12,Kurz darauf erkrankt jedoch auch diese.,neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,13,"Der Bürgermeister verspricht Jörg, ihn als Alleinerben einzusetzen, wenn er Barbaras Leben retten kann.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,14,Daher überlistet Jörg den Tod abermals.,neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,15,"Der Tod nimmt ihn daraufhin mit in eine Höhle mit Lebenslichtern, unter anderem seines und das Barbaras.",grief
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,16,Letzteres ist fast abgebrannt und kurz vor dem Erlöschen.,neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,17,"Der Tod erinnert Jörg an ihre Abmachung und versucht ihm klarzumachen, dass das Leben nun einmal zu Ende sei, wenn es zu Ende sein soll, und dass an den Gesetzen der Natur weder Jugend noch die Medizin etwas ändern können.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,18,"Da sich Jörg aber weiterhin weigert, dies einzusehen, fragt der Tod ihn schließlich: „Sag, wie kräftig willst du des Mädchens Leben noch sehen?“ Jörg macht eine folgenschwere Entscheidung: Er greift in das Kerzenmeer und zieht eine beliebige, große Kerze heraus.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,19,"Der Tod nimmt die Kerze und drückt das Licht Barbaras darauf mit den Worten: „Um deinetwillen.“ Nachdem der Arzt wieder in die Stadt zurückgekehrt ist, sieht er, dass die Lebenskerze seinem kleinen Ziehsohn Stanislaus gehörte, der nun tot auf der Treppe seines Hauses liegt.",neutral
Grimm,Wikipedia,1980,Grimm,Gevatter Tod,20,"Erschüttert darüber, was er getan hat, verlässt Jörg nach einer letzten Begegnung mit seinem Gevatter die Stadt fluchtartig.",neutral
