Author,Type,Year,OriginalAuthor,Title,SentenceNr,Sentence,Emotion
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,26,"Klaus willigt ein und muss allerdings auch die Truhe mit dem „Teufel“ mitnehmen, die er ins Wasser werfen soll.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,27,Doch er lässt den Küster dann unterwegs frei.,neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,28,Der Kleine Klaus kehrt als reicher Mann zurück.,pride
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,29,"Als der Große Klaus erfährt, dass er das alles für ein altes Pferd eintauschen kann, bringt er seine vier schönen Pferde zu den Zigeunern, um sie ihnen zu verkaufen.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,30,"Er tauscht sie gegen alle Felle ein, die sie haben und denkt er kann die Häute teuer in der Stadt verkaufen.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,31,"Als das fehlschlägt ist er so wütend auf den Kleinen Klaus, dass er ihm sein Haus anzündet.",anger
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,32,Vergeblich bemüht sich der Kleine Klaus die Silbertaler unter dem Schutt zu finden.,neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,33,"Mittellos kehrt er in einer Herberge ein, doch er hat sich einen Sack voll Asche mitgenommen.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,34,"Den gibt er dem Wirt in Verwahrung und trägt ihm auf ja nicht hineinzusehen, sonst würde alles was darinnen ist zu Asche werden.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,35,"Doch der Wirt kann nicht widerstehen und sieht, dass wirklich nur „noch“ Asche im Sack ist, schenkt er dem Kleinen Klaus als Ausgleich sein Wirtshaus und seine Tochter dazu.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,36,"Der Große Klaus wird so neidisch, dass er den Kleinen Klaus überfällt, in einen Sack steckt und in den Fluss werfen will.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,37,"Da gerade die Zigeuner vorbeikommen, lenken sie ihn ab, befreien den Kleinen Klaus und bringen ihm sein altes Pferd als Hochzeitsgeschenk wieder.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,38,"Zu seinen Hochzeitsgästen zählt auch das Müllerpaar und plötzlich fällt dem Kleinen Klaus ein, dass er seinen Silberschatz im Ofen versteckt hatte und dort kann er die Taler nun unversehrt wiederfinden.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,39,Der Große Klaus wird inzwischen von Dora von seinem Hof gejagt.,neutral
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,1,"Das Mädchen mit den Wunderhölzern

Molly möchte Haywood wieder mit seinem Sohn versöhnen.",desire
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,2,"Sie meint, wenn dieser seinen Enkelsohn, den Sohn von Joe, sehen würde, würden sich beide wieder näherkommen.",neutral
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,3,So macht sie sich mit ihm auf den Weg zum Haus der Duttons.,neutral
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,4,Doch die Kinder verirren sich zunächst auf dem Weg.,neutral
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,5,Währenddessen hat sich die aufgebrachte Menge der Obdachlosen vor Duttons Haus zum Protest gegen die Räumung versammelt.,neutral
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,6,"Als Joe aus dem Gefängnis kommt und seinen Sohn dort nicht findet, macht er sich ebenfalls auf zum Haus der Duttons.",neutral
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,7,"Dort kann er die aufgebrachte Menge zunächst beruhigen, doch dann greift ein Betrunkener zur Waffe, um Haywood Dutton zu erschießen.",neutral
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,8,"Doch Molly ist es gerade noch rechtzeitig gelungen, auch zum Haus der Duttons zu kommen.",neutral
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,9,"Als sie ein Streichholz anzündet, kann sie auf wundersame Weise einen Tumult verhindern und Dutton dazu bewegen, den Streit mit seinem Sohn Joe beizulegen.",realization
Andersen,Wikipedia,1987,Andersen,Das Mädchen mit den Wunderhölzern,10,"Haywood Dutton versöhnt sich wieder mit seinem Sohn und beschließt, die Häuser nicht zu verkaufen.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,1,"Die Schneekönigin

Eine Prophezeiung besagt, dass, wenn die Sterne des nördlichen Himmels aufs Neue geboren werden, derjenige, der mit dem schwarzen Schwert das Eis zerschlägt, das den kristallenen, grünen Stein aus der Krone der Dunkelheit bedeckt, in den Besitz des Steins kommen wird.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,2,"Setzt er sich gar die Krone auf sein Haupt, so wird er zum Herrscher der Welt und nichts wäre mehr wie vorher.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,3,"Das Wasser würde sich in Kristall verwandeln, die Sonne würde sich in Reif hüllen, der Mond würde zu Silber erbleichen und die Zeit würde stehenbleiben.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,4,An einem Strand finden die Kinder Gerda und Kai beim Spielen in einer Düne eine Spieldose mit einer Ballerina und drei goldenen Knöpfen.,neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,5,"Die Spieldose bekommt Gerda, Kai erhält die drei goldenen Knöpfe.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,6,"Des Nachts wird Kai dann von der Schneekönigin geholt, die ihn mit ihrem fliegenden Pferdeschlitten in ihr Reich bringt.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,7,"Unterwegs nimmt sie ihm die drei Knöpfe ab, die daraufhin zu glühen beginnen und so wirft sie die Kalte auf die Erde hinunter.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,8,Am nächsten Morgen ist Gerda betrübt über das Verschwinden Kais.,neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,9,"Als sie auf der Straße einen von Kais Knöpfen findet, beschließt sie sich auf die Suche nach ihm zu begeben.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,10,"Mit einem Boot wird sie in das von einer einsamen Hexe beherrschte Wasserreich gelockt, wo Gerda mit Hilfe verhexter Zuckerherzen dazu gebracht wird ihr Vorhaben zu vergessen, damit die Einsame nicht so allein bleibt.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,11,Gerda kommt hinter das Geheimnis der Hexe und täuscht fortan nur vor die Zuckerherzen zu essen.,neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,12,"Es erscheinen ihr die Rosenmädchen, die ihr erzählen, dass alle Mädchen die in das Reich der Hexe kommen, für diese tanzen und ihren Befehlen gehorchen müssen oder sie werden zu Rosen an den Wänden verwandelt.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,13,Außerdem raten sie Gerda sich davonzuschleichen während die Hexe schläft.,neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,14,"Diese folgt dem Rat, wird erwischt, kann aber trotzdem entkommen, woraufhin die Einsame augenblicklich vergeht und die Rosenmädchen erlöst werden.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,15,"Im Reich der Schneekönigin ist es der Kalten derweil gelungen, Kai zu einem eisigen Prinzen zu machen.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,16,"Sie erzählt dem Eisprinzen, dass sie ihn mag und bittet ihn darum das Eis, das den grünen Stein bedeckt zu zerschlagen und ihr den Stein zu bringen, der auf der Krone der Dunkelheit kronend dieser wieder ihre alte Kraft verleihen würde, wodurch sie ihn zum Herrscher der Welt erheben könnte.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,17,Gerda macht sich unterdessen weiter auf die Suche nach Kai und findet einen zweiten seiner Knöpfe.,neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,18,"Sie wird auf ein Schloss hingewiesen, in dem er als Geliebter einer Prinzessin leben soll, findet dort aber heraus, dass es sich bei diesem Kai nicht um ihren Kai handelt.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,19,"Von der Prinzessin bekommt sie eine neue Frisur, ein neues Kleid und ein Geschenk für Kai sowie auch ein paar Männer und Pferde für ihre weitere Reise mitgegeben.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,20,"Die Gemeinschaft wird jedoch von Räubern überfallen, die Gerda entführen.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,21,"Die Gaben der Prinzessin verliert sie an die Gesetzlosen, dafür aber findet sie in deren Lager Kais dritten Knopf.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,22,"Als die Räuber schlafen, entwendet sie ein fliegendes Zauberrentier, womit sie sich in den Norden zum eisigen Reich der Schneekönigin begibt.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,23,"Auf dem Weg dorthin, wird Gerda durch die magischen Fertigkeiten der Kaltherzigen erst von ihrem Rentierschlitten und dann in eine Erdspalte gestoßen, wo sie der Zauberin des Nordens begegnet.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,24,"Die der Schneekönigin Ebenbürtige erzählt Gerda, dass einst, als die Erde noch wirr und wüst war und Licht und Dunkelheit miteinander rangen, ein zauberkräftiger, grüner Stein aus der Krone der Dunkelheit in eine Quelle fiel, wo er zu Eis erstarrte.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,25,"Die Schneekönigin trachtet danach den Kristallstein zurückzubekommen, weil sich ihre Macht ohne ihn langsam erschöpfen, sie mit ihm aber ewig währen würde.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,26,"Jedoch kann es ihr nicht selbst gelingen sich den Stein aus der Quelle zu holen, da alles Wasser darin erstarren würde sobald sie ihr zu nahe käme.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,27,"Jemanden durch dessen Hände Wärme strömt, einen Menschen, benötigt sie dafür.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,28,"Also entführte sie Kai und machte ihn zum Eisprinzen, damit er mit dem schwarzen Schwert zu einer bestimmten Stunde das Eis auf der Quelle zerbricht.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,29,"Gerda erfährt auch, dass, sollte sich Kai die Krone der Dunkelheit aufsetzen, er zu Eis erstarren würde.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,30,Dann gibt ihr die Zauberin noch einen weißen Tarnumhang und die mutige Gerda macht sich auf zur Schneekönigin.,neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,31,Zum richtigen Zeitpunkt wird Kai von der Schneekönigin dazu gebracht das Eis auf der Quelle zu zerschlagen.,neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,32,Die kurz darauf eintreffende Gerda wird von der kalten Hexe enttarnt.,neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,33,"Verzweifelt fasst Gerda Kais Hand, um ihn zum weglaufen zu bewegen, doch er Eisige zeigt keine Regung.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,34,"Als die Hexe Gerda angreifen will, wirft ihr diese zwei von Kais Knöpfen entgegen, die sich durch die Macht des Guten, die ihnen innewohnt, in Feuerbälle verwandeln.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,35,Die Kalte aber hält das nicht lange auf und so wird Gerda eingefroren.,neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,36,"Die Schneekönigin macht sich also daran die bekommene Krone auf ihr Haupt zu setzen, da erwacht Kai durch die schwachen Rufe Gerdas und den dritten seiner Knöpfe, der bei der Berührung mit Gerda in seiner Hand gelandet ist und mit der Hilfe des magischen Knopfes kann die dunkle Krone zerstört werden.",neutral
Andersen,Wikipedia,1986,Andersen,Die Schneekönigin,37,Die Spieldose wird später wieder im Sand vergraben.,neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,1,"Ein uraltes Märchen

Ein armer Puppenspieler präsentiert am Abend in einem Wirtshaus seine Künste.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,2,Zum Dank darf er frei essen und trinken.,approval
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,3,"Was der Wirt nicht ahnt ist, dass seine Tochter am nächsten Morgen mit dem Puppenspieler fortgehen will, ist er doch ihr heimlicher Geliebter.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,4,"Der Puppenspieler kann in der Nacht nicht einschlafen und so präsentieren ihm seine Puppen ein Märchenspiel:

Ein Soldat (in Gestalt des Puppenspielers) wurde aus der Armee entlassen und geht nun arm in die Welt.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,5,"Er trifft auf eine Hexe, die ihm erzählt, dass in einem Brunnen reiche Goldvorkommen lagern.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,6,"Sie lässt ihn in den Brunnen hinab, wo er das Gold in seinen Tornister sammelt.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,7,"Die Hexe verspricht, ihn hochzuziehen, will jedoch zunächst das Gold zurück ans Tageslicht befördern.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,8,Entgegen ihrem Versprechen eilt sie mit dem Gold fort und lässt den Soldaten allein im Brunnen zurück.,neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,9,"Über einen Trick gelangt dieser ans Tageslicht, holt die Hexe ein und besiegt sie.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,10,Er hat nun nicht nur seinen Tornister voll Gold – auch ein von der Hexe in einen Kater verwandelter Zauberer erhält sein ursprüngliches Aussehen wieder und schenkt dem Soldaten zum Dank ein magisches Feuerzeug.,gratitude
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,11,"Der Soldat kommt zu einem kleinen Königreich, in das er eingelassen wird, als der Torwächter seinen Reichtum bemerkt.",joy
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,12,Die folgenden Tage lebt der Soldat verschwenderisch und hat mit einem Mal viele falsche Freunde.,annoyance
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,13,"Auf dem Marktplatz sieht er die hochmütige Prinzessin (in Gestalt der Wirtstochter), in die er sich sofort verliebt.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,14,"Er wirbt um sie, wie viele andere Freier vor ihm, doch sie weist ihn wie alle anderen zurück.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,15,"Dies verursacht bei ihrem Vater (in Gestalt des Wirts) großen Verdruss, hat das Königreich doch kein Geld mehr und ist auf einen reichen Ehemann für die Prinzessin angewiesen.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,16,"Dem Soldaten geht bald das Geld aus, sodass er in das schäbigste Hotel des Königreichs ziehen muss.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,17,"Hier macht er auch Bekanntschaft mit dem Prinzen eines noch kleineren Königreiches, der ebenfalls vergeblich um die Prinzessin geworben hatte.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,18,"Als dem Soldaten die einzige Kerze ausgeht, erinnert er sich an sein Feuerzeug.",admiration
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,19,"Beim Zünden steht plötzlich der gute Zauberer vor ihm und erklärt, dass er vom Feuerzeug gerufen ihm nun jeden Wunsch erfüllen müsse.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,20,Der Soldat wünscht sich die Prinzessin her und tatsächlich fährt kurze Zeit später das Himmelbett mit der schlafenden Prinzessin in die Stube des Soldaten.,neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,21,"Die Schlafende erwacht und glaubt, sie träume.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,22,"So lässt sie sich auch auf einen Spaziergang mit dem Soldaten über die Dächer des Königreiches ein und ist erfreut, als er ihr den gewünschten Schnee im Sommer herbeizaubert.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,23,"Als er sie küssen will, erkennt sie jedoch, dass dies kein Traum sein kann und geht empört davon.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,24,"Ihr Bett fährt zurück ins Schloss, wo die Prinzessin erwacht und ihrem Vater von dem merkwürdigen Traum erzählt.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,25,"Der Vater hat bald genug von den Befindlichkeiten der Tochter, also ordnet er eine Hochzeit an.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,26,"Die Prinzessin besteht darauf, märchentraditionsgemäß alle Freier zu testen und stellt jedem eine knifflige Frage.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,27,Nur der Soldat kann sie mithilfe des Zauberers richtig beantworten und darf nun die Prinzessin heiraten.,neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,28,"Die jedoch befiehlt, ihn ins Gefängnis zu werfen, da er sie in der Nacht auf den Dächern habe küssen wollen.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,29,"Als der König erfährt, dass der Soldat kein Geld mehr hat, stimmt er der Verhaftung zu.",approval
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,30,"Im Gefängnis bemerkt der Soldat, dass das rettende Feuerzeug noch in seinem Hotelzimmer liegt.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,31,"Er beauftragt den Prinzen, es zu holen, welcher noch rechtzeitig zu der kurzen Gerichtsverhandlung erscheint, in der bereits die Hinrichtung des Soldaten beschlossen wurde.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,32,"Der Zauberer löst unsichtbar die Fesseln des Gefangenen, kettet damit den König an und zaubert ihm eine große Nase.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,33,"Seine Tochter möchte diesem Schicksal entgehen, also willigt sie ein und ihre Heirat mit dem Soldaten wird in die Wege geleitet.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,34,Der Zauberer sieht seine Aufgabe als erfüllt an und verlangt sein Feuerzeug zurück.,neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,35,"Auch der Prinz geht, um sich eine neue Geliebte zu suchen.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,36,"Der Soldat aber erkennt letztendlich, dass eine Ehe mit der Prinzessin nicht sinnvoll wäre, da sie ihn nicht liebt.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,37,Er trennt sich kurze Zeit vor der Eheschließung von ihr und geht nach einem Abschiedskuss.,neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,38,"Nun fühlt die Prinzessin, dass auch sie ihn liebt, und eilt ihm nach, woraufhin es zum guten Ende kommt.",love
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,39,Der Puppenspieler erwacht im Wirtshaus und die Wirtstochter erscheint.,neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,40,"Sie eröffnet ihm, dass sie nicht mit ihm kommen könne.",neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,41,Sie sei im Ort verwurzelt und könne ihren Vater nicht allein zurücklassen.,neutral
Andersen,Wikipedia,1968,Andersen,Ein uraltes Märchen,42,Der Puppenspieler versteht sie und geht mit seinem Puppentheater davon.,neutral
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,1,"Der kleine und der große Klaus

Der kleine Klaus ist ein Kleinbauer, lebt mit seiner Frau und seinen sieben Kindern in ärmlichen Verhältnissen.",neutral
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,2,"Von Montag bis Samstag arbeitet er auf dem Hof des Großen Klaus, der ein Großbauer ist.",neutral
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,3,"Nur am Sonntag leiht ihm der Große Klaus zwei Pferde, so dass der Kleine Klaus mit ihnen und seinem eigenen Pferd Hans sein Feld bestellen kann.",neutral
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,4,"Er treibt sie an, indem er „Hüh, alle meine Pferde, hüh!“ ruft.",anger
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,5,"Damit verärgert er wiederholt den Großen Klaus, bis dieser das Pferd vom Kleinen Klaus mit einem Stein erschlägt.",annoyance
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,6,"Um die Familie weiterhin ernähren zu können, beschließt der Kleine Klaus, die Haut seines Pferdes auf dem Markt zu verkaufen.",neutral
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,7,"Auf dem Weg dorthin möchte er aufgrund des starken Regens im Haus des Müllers übernachten, aber nur dessen Frau ist dort und schickt ihn weg.",neutral
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,8,"Er kriecht deswegen auf den Boden der Scheune und beobachtet von dort, wie die Müllersfrau den Küster, mit dem sie ein Verhältnis hat, empfängt und ihm ein üppiges Essen vorsetzt.",neutral
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,9,"Als der Müller unerwartet nach Hause kommt, versteckt die Müllerin das Essen im Ofen und den Küster in einer Truhe.",surprise
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,10,Der Kleine Klaus bittet den Müller um ein Nachtlager und etwas zu essen; dieser empfängt ihn.,nervousness
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,11,"Seinen Sack, in dem das Pferdefell ist, stellt der Kleine Klaus unter den Tisch.",neutral
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,12,"Er behauptet, darin wäre ein Zauberer und beweist es, indem er vorhersagt, dass sich Braten und Kuchen im Ofen befinden und sogar ""der Teufel"" in der Truhe sitzt.",neutral
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,13,"Der Müller ist davon so beeindruckt, dass er dem Kleinen Klaus für dessen Sack reichlich Waren sowie die Truhe und einen Scheffel Geld überlässt.",admiration
Andersen,Wikipedia,1971,Andersen,Der kleine und der große Klaus,14,"Während des Nachhauseweges lässt der Kleine Klaus den Küster frei, der ihm aus Dankbarkeit seine Schuhe schenkt.",neutral
