Emotion,Token,Frequency
neutral,abzuwehren,2
neutral,kehrt,21
neutral,nie,37
neutral,zurück,165
neutral,schneewittchen,77
neutral,lernt,4
neutral,gutaussehenden,1
neutral,banditen,4
neutral,namens,40
neutral,jonathan,9
neutral,kennen,7
neutral,speisekammer,5
neutral,schlosses,19
neutral,essen,74
neutral,freunde,27
neutral,stehlen,28
neutral,fliehen,25
neutral,bittet,36
neutral,stiefmutter,64
neutral,untertanen,5
neutral,freundlich,31
neutral,behandeln,2
neutral,gleichgültig,1
neutral,böse,27
neutral,befiehlt,5
neutral,eifersüchtig,8
neutral,schneewittchens,11
neutral,jäger,125
neutral,hinzurichten,2
neutral,juwelenbesetzten,1
neutral,kästchen,3
neutral,zurückzubringen,2
neutral,stattdessen,11
neutral,absichten,2
neutral,weiß,27
neutral,hütte,39
neutral,sieben,98
neutral,zwergen,19
neutral,brummbär,1
neutral,chef,1
neutral,happy,1
neutral,hatschi,1
neutral,pimpel,1
neutral,schlafmütz,1
neutral,seppl,1
neutral,gehört,32
neutral,tage,33
neutral,diamantenmine,1
neutral,verbringen,1
neutral,erfährt,25
neutral,lebt,16
neutral,sperrt,7
neutral,wachen,10
neutral,treffen,23
neutral,wehren,3
neutral,dieben,1
neutral,erkennen,23
neutral,gefühle,2
neutral,füreinander,2
neutral,bevor,37
neutral,aufbricht,2
neutral,glaubt,11
neutral,gefangen,22
neutral,genommen,23
neutral,eingekerkert,1
neutral,aufenthaltsort,4
neutral,mittlerweile,7
neutral,herausgefunden,5
neutral,geheimen,6
neutral,gemächer,1
neutral,verwandelt,46
neutral,ältere,3
neutral,erschafft,1
neutral,vergifteten,7
neutral,apfel,35
neutral,fluch,29
neutral,schlafenden,9
neutral,todes,5
neutral,belegen,1
neutral,zwerge,41
neutral,arbeit,60
neutral,gegangen,18
neutral,häuschen,33
neutral,sei,125
neutral,verbündete,5
neutral,offenbart,10
neutral,stieftochter,7
neutral,getötet,32
neutral,gebracht,20
neutral,feldzug,1
neutral,bedrohung,2
neutral,süden,1
neutral,tod,75
neutral,fällt,28
neutral,zurückzieht,1
neutral,finden,61
neutral,körper,3
neutral,rückkehr,9
neutral,erwacht,13
neutral,schart,1
neutral,jonathans,1
neutral,stürzen,7
neutral,kammer,29
neutral,tritt,18
neutral,spiegel,24
neutral,zerstört,9
neutral,quelle,16
neutral,kräfte,15
neutral,erweist,2
neutral,glas,13
neutral,verschwindet,11
neutral,strudel,1
neutral,zauberspiegel,4
neutral,repariert,1
neutral,heiraten,48
neutral,hans,197
neutral,jahren,36
neutral,lehre,9
neutral,gewürzhändler,2
neutral,mutter,171
neutral,ans,30
neutral,meer,25
neutral,zurückkehren,10
neutral,lohn,31
neutral,dienst,9
neutral,erhält,21
neutral,klumpen,7
neutral,purem,6
neutral,gold,113
neutral,froh,4
neutral,gelaunt,1
neutral,singend,3
neutral,langen,21
neutral,unterwegs,29
neutral,händler,9
neutral,knudsen,2
neutral,tochter,137
neutral,elisabeth,25
neutral,buxtehude,2
neutral,handel,6
neutral,treiben,8
neutral,großen,70
neutral,eindruck,1
neutral,zufall,5
neutral,mehrfach,3
neutral,wiedertreffen,2
neutral,goldklumpen,17
neutral,unangenehm,1
neutral,reise,16
neutral,erste,26
neutral,gelegenheit,9
neutral,tausch,7
neutral,beim,73
neutral,schopf,1
neutral,packt,4
neutral,anstelle,1
neutral,goldes,7
neutral,pferd,100
neutral,glücklich,19
neutral,mehr,152
neutral,selber,17
neutral,laufen,27
neutral,müssen,25
neutral,schneller,7
neutral,voranzukommen,1
neutral,schwer,31
neutral,tragen,40
neutral,reitet,12
neutral,zufrieden,16
neutral,richtig,6
neutral,umgehen,3
neutral,flotten,1
neutral,galopp,1
neutral,ab,142
neutral,bauer,21
neutral,kuh,37
neutral,daherkommt,1
neutral,beneidet,1
neutral,stattliches,1
neutral,starkes,2
neutral,tier,36
neutral,besitzen,5
neutral,milch,16
neutral,geben,57
neutral,tauscht,4
neutral,rast,4
neutral,eingekehrt,1
neutral,danach,31
neutral,ende,54
neutral,tages,84
neutral,trinken,32
neutral,erst,75
neutral,bemerkt,11
neutral,gar,37
neutral,gibt,80
neutral,wertlose,1
neutral,schwein,20
neutral,weges,9
neutral,karl,5
neutral,einfältigkeit,1
neutral,erkennt,25
neutral,einfach,2
neutral,erzählt,42
neutral,wäre,90
neutral,deshalb,9
neutral,gans,73
neutral,weiteren,5
neutral,scherenschleifer,5
neutral,vorteile,1
neutral,handwerksberufs,1
neutral,höchsten,3
neutral,tönen,2
neutral,schildert,1
neutral,mühsam,5
neutral,kommt,79
neutral,voran,4
neutral,brunnen,85
neutral,wegesrand,4
neutral,schleifstein,9
neutral,hinein,83
neutral,drosselbart,38
neutral,hübsche,3
neutral,hochmütige,1
neutral,königstochter,94
neutral,verspottet,9
neutral,bewerber,1
neutral,anhalten,2
neutral,aristokraten,1
neutral,vorsprechen,1
neutral,spöttische,2
neutral,bemerkung,3
neutral,reichen,16
neutral,aland,9
neutral,wegen,15
neutral,bartes,7
neutral,„,1415
neutral,“,1392
neutral,verhöhnt,3
neutral,pompus,3
neutral,prinzessin,234
neutral,endlich,97
neutral,verheiraten,8
neutral,geld,44
neutral,langsam,4
neutral,ausgeht,3
neutral,reagiert,7
neutral,unverständnis,1
neutral,beschießt,1
neutral,denkzettel,2
neutral,verpassen,2
neutral,ersten,39
neutral,bettler,37
neutral,nächsten,62
neutral,morgen,114
neutral,schloß,17
neutral,vorbeikommen,1
neutral,drohung,1
neutral,angehört,2
neutral,fasst,2
neutral,plan,21
neutral,verkleidet,22
neutral,fahrender,2
neutral,sänger,2
neutral,bettelmann,8
neutral,stelle,18
neutral,schwur,2
neutral,gebunden,7
neutral,fühlt,3
neutral,prächtigen,9
neutral,park,2
neutral,wissen,37
neutral,wem,13
neutral,gehöre,4
neutral,antwortet,13
neutral,schadenfroh,1
neutral,meint,29
neutral,oh,1
neutral,arme,34
neutral,jungfrau,17
neutral,zart,5
neutral,hätt,7
neutral,drosselbart.,1
neutral,spiel,10
neutral,wiederholt,3
neutral,mehrmals,1
neutral,reichtümer,5
neutral,königs,93
neutral,passieren,2
neutral,beschlossen,11
neutral,bisher,3
neutral,gewohnt,2
neutral,sofort,27
neutral,hart,15
neutral,personal,2
neutral,lästige,1
neutral,dinge,11
neutral,abnimmt,1
neutral,entsetzen,5
neutral,wider,2
neutral,erwarten,3
neutral,fügt,1
neutral,schicksal,11
neutral,versucht,38
neutral,bestes,2
neutral,bewältigen,1
neutral,besonders,4
neutral,gut,78
neutral,geflochtene,1
neutral,körbe,7
neutral,geschirr,3
neutral,menschen,85
neutral,verkaufen,8
neutral,verdingt,1
neutral,mannes,10
neutral,ausgerechnet,1
neutral,küchenmagd,7
neutral,anfallenden,2
neutral,großem,6
neutral,eifer,2
neutral,verrichtet,1
neutral,respektive,1
neutral,hält,27
neutral,zeit,86
neutral,gekommen,41
neutral,offenbaren,6
neutral,tatsächlich,7
neutral,verheiratet,10
neutral,prachtvollen,1
neutral,geladen,5
neutral,hochzeit,73
neutral,standesgemäß,1
neutral,wiederholen,1
neutral,vereinen,1
neutral,ähnlich,5
neutral,fassungslos,1
neutral,inzwischen,21
neutral,beruhigt,3
neutral,erscheint,40
neutral,festlich,1
neutral,gekleidet,6
neutral,strahlend,2
neutral,gevatter,8
neutral,görlitz,1
neutral,1500,1
neutral,kläusle,1
neutral,13,4
neutral,kind,128
neutral,jörg,15
neutral,angebote,1
neutral,gott,21
neutral,teufel,76
neutral,abgelehnt,1
neutral,satt,10
neutral,mache,8
neutral,verführen,5
neutral,wählt,1
neutral,paten,2
neutral,patenkind,2
neutral,universitäten,1
neutral,perugia,1
neutral,casablanca,1
neutral,medizin,8
neutral,studieren,1
neutral,arzt,14
neutral,berühmter,1
neutral,reicher,5
neutral,stadtmedicus,1
neutral,abmachung,2
neutral,darf,35
neutral,patienten,1
neutral,heilen,6
neutral,kopf,66
neutral,füßen,14
neutral,aus.,1
neutral,stadt,54
neutral,bricht,6
neutral,1530,1
neutral,pest,1
neutral,bürgermeister,6
neutral,erkrankt,3
neutral,willen,11
neutral,ebenfalls,21
neutral,sterben,19
neutral,überlistet,2
neutral,kopfende,1
neutral,krankenbettes,1
neutral,legt,24
neutral,darüber,28
neutral,hinweg,3
neutral,zweites,2
neutral,anschließenden,2
neutral,feierlich,2
neutral,bürgerschaft,1
neutral,aufgenommen,7
neutral,bürgermeisters,1
neutral,verliebt,9
neutral,alleinerben,1
neutral,einzusetzen,2
neutral,barbaras,2
neutral,retten,29
neutral,daher,16
neutral,abermals,9
neutral,letzteres,1
neutral,fast,19
neutral,abgebrannt,1
neutral,erlöschen,2
neutral,erinnert,4
neutral,klarzumachen,2
neutral,gesetzen,1
neutral,natur,6
neutral,jugend,4
neutral,ändern,4
neutral,weigert,8
neutral,einzusehen,1
neutral,fragt,18
neutral,schließlich,68
neutral,sag,5
neutral,kräftig,4
neutral,willst,39
neutral,mädchens,7
neutral,sehen,76
neutral,folgenschwere,1
neutral,greift,8
neutral,kerzenmeer,1
neutral,beliebige,1
neutral,große,44
neutral,kerze,7
neutral,drückt,4
neutral,licht,59
neutral,worten,10
neutral,deinetwillen.,1
neutral,zurückgekehrt,8
neutral,lebenskerze,1
neutral,ziehsohn,1
neutral,stanislaus,1
neutral,gehörte,10
neutral,tot,33
neutral,treppe,14
neutral,hauses,8
neutral,liegt,19
neutral,erschüttert,3
neutral,getan,18
neutral,verlässt,13
neutral,letzten,31
neutral,begegnung,2
neutral,fluchtartig,1
neutral,szene,2
neutral,liebsten,11
neutral,sagt,23
neutral,gebrauch,1
neutral,lebst,3
neutral,viele,27
neutral,wohl.,1
neutral,geburtstags,3
neutral,michael,12
neutral,gauklertruppe,1
neutral,schauspiel,1
neutral,volk,16
neutral,belustigt,1
neutral,maria,5
neutral,michaels,1
neutral,stück,41
neutral,übertrieben,1
neutral,darsteller,1
neutral,versichern,1
neutral,matthäus,3
neutral,anna,14
neutral,inspiration,1
neutral,gedient,8
neutral,urteil,8
neutral,bilden,2
neutral,weshalb,9
neutral,schauspielern,1
neutral,hof,49
neutral,reist,1
neutral,klebt,3
neutral,falschen,9
neutral,bart,28
neutral,kinn,8
neutral,erhascht,1
neutral,fenster,41
neutral,blick,14
neutral,schlafgemach,7
neutral,herumflatternde,1
neutral,drossel,12
neutral,offiziell,1
neutral,freier,14
neutral,weist,15
neutral,lustig,9
neutral,lieber,46
neutral,genug,26
neutral,hochmut,9
neutral,morgengrauen,3
neutral,erstes,7
neutral,schwelle,1
neutral,burgtors,1
neutral,überschreitet,1
neutral,folgenden,10
neutral,regnet,2
neutral,strömen,2
neutral,sicht,2
neutral,einziger,4
neutral,lumpen,3
neutral,gekleideter,3
neutral,gefunden,33
neutral,eheleute,1
neutral,kate,5
neutral,nieder,34
neutral,angeblich,4
neutral,entstelltes,1
neutral,verbirgt,3
neutral,überleben,2
neutral,arbeitet,9
neutral,finger,28
neutral,rühren,2
neutral,bezahlt,5
neutral,schmuck,4
neutral,nahrung,3
neutral,honig,4
neutral,erntet,2
neutral,brot,63
neutral,zerbricht,5
neutral,ungeschickt,5
neutral,gefäß,1
neutral,vorbeihüpfende,1
neutral,ablenkt,1
neutral,schwimmt,3
neutral,strom,3
neutral,flusses,1
neutral,bettlerin,1
neutral,einfachste,1
neutral,kleidung,6
neutral,umschnüren,1
neutral,zurückzukehren,5
neutral,fährmann,23
neutral,befehl,12
neutral,erhalten,11
neutral,unterkunft,2
neutral,paar,36
neutral,almosen,2
neutral,übrig,19
neutral,notgedrungen,1
neutral,zeigt,16
neutral,töpfert,1
neutral,verdienen,12
neutral,steuern,8
neutral,bezahlen,6
neutral,anstatt,5
neutral,sparen,1
neutral,leistet,1
neutral,wenigen,3
neutral,neues,15
neutral,geldeintreiber,1
neutral,erscheinen,16
neutral,männer,33
neutral,annas,3
neutral,gepfändet,1
neutral,geht,66
neutral,statt,22
neutral,getöpferten,1
neutral,krügen,1
neutral,markt,22
neutral,stand,101
neutral,außer,8
neutral,acht,14
neutral,samt,7
neutral,töpferware,1
neutral,pferdekutsche,1
neutral,aufgrund,6
neutral,unbezahlten,1
neutral,verwalter,1
neutral,verbarrikadieren,1
neutral,verkleideten,1
neutral,handelt,5
neutral,hilfe,45
neutral,gaukler,1
neutral,erteilen,7
neutral,eingeweiht,1
neutral,gelangt,11
neutral,unterdessen,6
neutral,gehilfin,1
neutral,köchin,7
neutral,unterkommt,1
neutral,käfig,13
neutral,bleiben,32
neutral,verloren,13
neutral,gegangenen,1
neutral,appetit,1
neutral,wiederfindet,1
neutral,küche,28
neutral,überaus,2
neutral,fleißig,9
neutral,diensten,1
neutral,nachkommt,1
neutral,immer,111
neutral,vermeintlichen,4
neutral,verlies,6
neutral,eilt,11
neutral,schlossküche,2
neutral,gefangene,7
neutral,frei,41
neutral,anschließend,5
neutral,vorfindet,3
neutral,bietet,17
neutral,tun,48
neutral,gegenzug,5
neutral,freilässt,1
neutral,bedeutet,4
neutral,eigenes,12
neutral,beweist,1
neutral,länger,20
neutral,hochmütig,1
neutral,egoistisch,2
neutral,beendet,3
neutral,maskerade,1
neutral,klärt,2
neutral,hals,24
neutral,fallen,29
neutral,warten,14
neutral,gelernt,8
neutral,wirklich,8
neutral,weinend,2
neutral,küssen,12
neutral,fahren,12
neutral,königlichen,20
neutral,roben,1
neutral,pferdeschlitten,1
neutral,jorinde,44
neutral,and,2
neutral,joringel,45
neutral,märchen,9
neutral,rahmen,2
neutral,antikriegsfilms,1
neutral,gestellt,5
neutral,wobei,8
neutral,märchenhaftes,1
neutral,dokumentarisches,1
neutral,miteinander,11
neutral,verbunden,4
neutral,wurden,57
neutral,dreißigjährigen,2
neutral,krieges,1
neutral,bauernfamilie,1
neutral,brennenden,3
neutral,ausnahme,1
neutral,verstörtes,2
neutral,kleinkind,2
neutral,verwaisten,1
neutral,bauernpaar,2
neutral,töchterchen,1
neutral,heißt,5
neutral,nennen,6
neutral,familie,30
neutral,kindern,10
neutral,verborgen,8
neutral,wäldern,4
neutral,unwegsamen,1
neutral,moor,11
neutral,unterschlupf,3
neutral,einsiedlern,1
neutral,kinder,97
neutral,heranwachsen,1
neutral,beziehung,2
neutral,eingehen,3
neutral,währt,1
neutral,welt,102
neutral,krieg,22
neutral,salz,3
neutral,bieten,3
neutral,dabei,58
neutral,lenkt,3
neutral,abgehalfterte,1
neutral,mordgesellen,1
neutral,spur,10
neutral,steht,32
neutral,ahnungsvoll,1
neutral,singt,8
neutral,wollt,12
neutral,fern,3
neutral,nah,6
neutral,winden,7
neutral,…,7
neutral,könnt,16
neutral,2,2
neutral,plötzlich,31
neutral,augen,94
neutral,verschwunden,11
neutral,verzweifelte,1
neutral,joringels,5
neutral,seltsam,5
neutral,eule,8
neutral,offen,5
neutral,jorindes,6
neutral,verschwinden,14
neutral,zusammenhängt,1
neutral,eltern,41
neutral,tag,127
neutral,nacht,141
neutral,unauffindbar,1
neutral,mörderischen,1
neutral,landsknechte,3
neutral,durchs,9
neutral,heim,55
neutral,nähern,2
neutral,entdeckt,19
neutral,surreal,1
neutral,wirkende,1
neutral,burg,31
neutral,trance,1
neutral,fängt,5
neutral,lied,22
neutral,ringlein,7
neutral,singen,7
neutral,weichen,4
neutral,magischer,3
neutral,kraft,13
neutral,zahllose,1
neutral,käfige,2
neutral,vögelchen,1
neutral,darin,69
neutral,hängen,15
neutral,dürfe,7
neutral,mitnehmen,4
neutral,möge,9
neutral,schlüssel,11
neutral,wiederfindens,1
neutral,liebenden,5
neutral,nachtigall,9
neutral,zauberin,39
neutral,schenkt,15
neutral,menschliche,15
neutral,gestalt,40
neutral,gehen,93
neutral,ungebrochen,1
neutral,ewig,2
neutral,schwelende,1
neutral,erreichen,9
neutral,festen,5
neutral,untergrund,1
neutral,abwesenheit,2
neutral,brandschatzen,1
neutral,nahrungssuche,1
neutral,gewarnt,3
neutral,gefahr,15
neutral,rennt,3
neutral,söldner,1
neutral,gerade,53
neutral,vergreifen,1
neutral,gelingt,33
neutral,ausgemergelten,2
neutral,kreaturen,2
neutral,schlagen,12
neutral,beginnt,26
neutral,wiederaufbau,2
neutral,ferner,3
neutral,glockenklang,1
neutral,vernehmen,1
neutral,rennen,9
neutral,lichten,2
neutral,wiesenhügel,1
neutral,hunderte,2
neutral,freudig,4
neutral,tal,5
neutral,alte,125
neutral,ewigen,2
neutral,bewahrt,2
neutral,baum,85
neutral,holle,22
neutral,witwe,3
neutral,töchter,21
neutral,unterschiedlicher,3
neutral,kaum,53
neutral,marie,68
neutral,beteiligt,1
neutral,fleiß,2
neutral,täglichen,1
neutral,haushalt,3
neutral,luise,23
neutral,faulen,3
neutral,haut,13
neutral,gegensatz,2
neutral,jedermann,5
neutral,hilft,15
neutral,faul,2
neutral,neidisch,4
neutral,aufopferungsvoll,1
neutral,struppi,6
neutral,hund,30
neutral,kümmert,1
neutral,ansteht,3
neutral,wohl,81
neutral,hinlegen,1
neutral,sodass,26
neutral,hängenbleibt,1
neutral,schwester,38
neutral,sogar,21
neutral,brosche,2
neutral,gutmütigen,1
neutral,überlassen,2
neutral,geschützt,2
neutral,übernehmen,4
neutral,tanzfest,1
neutral,teilnehmen,1
neutral,wolle,23
neutral,spinnen,14
neutral,sticht,6
neutral,spindel,15
neutral,versuch,6
neutral,reinigen,4
neutral,herausfischen,1
neutral,blumenwiese,1
neutral,zauberland,2
neutral,rabe,9
neutral,land,55
neutral,frage,11
neutral,sommer,7
neutral,winter,15
neutral,frühling,5
neutral,herbst,2
neutral,weiterzieht,1
neutral,ruft,11
neutral,jemand,18
neutral,zieh,11
neutral,raus,6
neutral,verbrennen,8
neutral,natürlich,2
neutral,befreit,19
neutral,brote,2
neutral,heißen,5
neutral,backofen,7
neutral,apfelbaum,11
neutral,ach,56
neutral,rüttle,2
neutral,schüttle,2
neutral,äpfel,16
neutral,allesamt,2
neutral,reif,3
neutral,pflichtbewusst,1
neutral,begrüßt,5
neutral,gewartet,4
neutral,tisch,18
neutral,vielerlei,1
neutral,köstlichkeiten,2
neutral,gedeckt,4
neutral,könne,44
neutral,müsse,28
neutral,haus,131
neutral,sauber,1
neutral,halten,23
neutral,blumen,15
neutral,gießen,2
neutral,betten,8
neutral,ausschütteln,2
neutral,–,214
neutral,fieberhaft,2
neutral,wild,11
neutral,bellend,2
neutral,maries,10
neutral,aufmerksam,5
neutral,gemacht,24
neutral,weicht,1
neutral,verwöhnten,1
neutral,überhaupt,2
neutral,gefällt,10
neutral,wiederkäme,1
neutral,mault,1
neutral,rum,3
neutral,ecken,5
neutral,enden,5
neutral,fehlt,7
neutral,solle,43
neutral,tüchtig,2
neutral,gehe,10
neutral,erde,40
neutral,dichte,2
neutral,schneedecke,1
neutral,entstehe,1
neutral,strengt,1
neutral,unermüdlich,1
neutral,verantwortungsvolle,1
neutral,erledigen,1
neutral,freude,27
neutral,schneit,2
neutral,lebenskluge,1
neutral,sehnsucht,5
neutral,freunden,5
neutral,torbogen,5
neutral,gerechten,1
neutral,freundlichkeit,5
neutral,hindurchgeht,1
neutral,herab,38
neutral,gefallen,22
neutral,zurückgebracht,1
neutral,reinem,3
neutral,feiert,1
neutral,niemand,52
neutral,beschließt,11
neutral,ominösen,1
neutral,springt,3
neutral,absichtlich,2
neutral,verletzt,6
neutral,selben,9
neutral,allerdings,24
neutral,wahrnehmung,1
neutral,völlig,4
neutral,herausziehen,2
neutral,doof,1
neutral,verbrenne,1
neutral,einziges,10
neutral,ofen,15
neutral,hunger,15
neutral,hinzukommenden,1
neutral,raben,34
neutral,zeige,4
neutral,schnappt,1
neutral,gute,18
neutral,schlechte,7
neutral,zugewiesenen,1
neutral,erledigt,5
neutral,widerwillig,3
neutral,gemaule,1
neutral,meist,1
neutral,bockig,1
neutral,bevorsteht,1
neutral,erwartungsvoll,2
neutral,schnee,17
neutral,hofft,3
neutral,schnell,28
neutral,schläft,10
neutral,kissen,6
neutral,schütteln,3
neutral,vergebene,1
neutral,liebesmüh,1
neutral,verdienten,1
neutral,schicken,8
neutral,benötige,2
neutral,schnippisch,1
neutral,na,1
neutral,zurückkommt,2
neutral,kräht,2
neutral,hahn,15
neutral,kikeriki,5
neutral,pechmarie,2
neutral,hie,2
neutral,dorfbewohner,13
neutral,lachen,10
neutral,frieder,1
neutral,früher,3
neutral,umworben,1
neutral,neuer,9
neutral,anfang,3
neutral,ganz,95
neutral,dir.,5
neutral,besinnt,1
neutral,hilfsbereitschaft,1
neutral,guten,32
neutral,tat,48
neutral,stückchen,10
neutral,pech,5
neutral,golden,16
neutral,schimmert,2
neutral,vergaß,6
neutral,tut,17
neutral,helfen,31
neutral,reißt,10
neutral,gleich,45
neutral,’,25
neutral,m,1
neutral,jakob,60
neutral,tollpatsch,1
neutral,schmiedgehilfe,1
neutral,taugt,2
neutral,eigenen,28
neutral,beine,15
neutral,steuereintreiber,1
neutral,respektlos-unbekümmert,1
neutral,entgegen,24
neutral,presst,1
neutral,gelder,1
neutral,bauern,14
neutral,deklariert,1
neutral,abgabe,3
neutral,räuberschutzgeld,1
neutral,obwohl,20
neutral,je,14
neutral,räuber,40
neutral,gesehen,35
neutral,entscheiden,5
neutral,kurzerhand,4
neutral,fach,1
neutral,wechseln,1
neutral,besucht,5
neutral,empfangen,13
neutral,steinwürfen,1
neutral,stets,11
neutral,betrunkene,1
neutral,gefährlichen,2
neutral,vermutet,2
neutral,postboten,1
neutral,nachricht,9
neutral,brief,37
neutral,abnehmen,3
neutral,besagt,4
neutral,unverzüglich,4
neutral,gemeingefährlicher,1
neutral,erhängt,2
neutral,schreiben,7
neutral,zukünftigen,2
neutral,ehemann,5
neutral,bestimmt,7
neutral,geführt,20
neutral,anweisung,3
neutral,tief,20
neutral,ehe,19
neutral,willigt,15
neutral,bedingung,15
neutral,goldenen,82
neutral,haare,49
neutral,teufels,26
neutral,bringe,7
neutral,fragen,13
neutral,warum,34
neutral,dorfbach,1
neutral,ortes,1
