Author,Type,Title,Token,SentenceNr,Sentence,Sentiment
Andersen,Wikipedia,Der kleine und der große Klaus,gutsbesitzerstochter,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,dora,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,heiratet,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,guter,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,laune,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,macht,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,arme,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kleine,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,angebot,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,acker,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klein,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,solle,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,große,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,vier,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,pferde,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,leihen,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,schon,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,bald,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,arbeit,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,fertig,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,rest,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,woche,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,arbeiten,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,willigt,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,missfällt,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kleine,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,nächsten,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,tag,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,überall,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,verkündet,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,wären,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,pferde,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kurzerhand,6,Kurzerhand macht er das Geschäft rückgängig und nimmt dem Kleinen Klaus die Pferde wieder weg.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,macht,6,Kurzerhand macht er das Geschäft rückgängig und nimmt dem Kleinen Klaus die Pferde wieder weg.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,geschäft,6,Kurzerhand macht er das Geschäft rückgängig und nimmt dem Kleinen Klaus die Pferde wieder weg.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,rückgängig,6,Kurzerhand macht er das Geschäft rückgängig und nimmt dem Kleinen Klaus die Pferde wieder weg.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,nimmt,6,Kurzerhand macht er das Geschäft rückgängig und nimmt dem Kleinen Klaus die Pferde wieder weg.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kleinen,6,Kurzerhand macht er das Geschäft rückgängig und nimmt dem Kleinen Klaus die Pferde wieder weg.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,6,Kurzerhand macht er das Geschäft rückgängig und nimmt dem Kleinen Klaus die Pferde wieder weg.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,pferde,6,Kurzerhand macht er das Geschäft rückgängig und nimmt dem Kleinen Klaus die Pferde wieder weg.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,eigenen,7,"So muss er nun mit seinem eigenen, mageren Klepper den schweren Pflug ziehen.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,mageren,7,"So muss er nun mit seinem eigenen, mageren Klepper den schweren Pflug ziehen.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klepper,7,"So muss er nun mit seinem eigenen, mageren Klepper den schweren Pflug ziehen.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,schweren,7,"So muss er nun mit seinem eigenen, mageren Klepper den schweren Pflug ziehen.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,pflug,7,"So muss er nun mit seinem eigenen, mageren Klepper den schweren Pflug ziehen.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,ziehen,7,"So muss er nun mit seinem eigenen, mageren Klepper den schweren Pflug ziehen.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,tier,8,"Als das Tier vor Erschöpfung zusammenbricht, bietet ihm ein Zigeuner zwei Taler für das Pferd.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,erschöpfung,8,"Als das Tier vor Erschöpfung zusammenbricht, bietet ihm ein Zigeuner zwei Taler für das Pferd.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,zusammenbricht,8,"Als das Tier vor Erschöpfung zusammenbricht, bietet ihm ein Zigeuner zwei Taler für das Pferd.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,bietet,8,"Als das Tier vor Erschöpfung zusammenbricht, bietet ihm ein Zigeuner zwei Taler für das Pferd.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,zigeuner,8,"Als das Tier vor Erschöpfung zusammenbricht, bietet ihm ein Zigeuner zwei Taler für das Pferd.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,zwei,8,"Als das Tier vor Erschöpfung zusammenbricht, bietet ihm ein Zigeuner zwei Taler für das Pferd.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,taler,8,"Als das Tier vor Erschöpfung zusammenbricht, bietet ihm ein Zigeuner zwei Taler für das Pferd.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,pferd,8,"Als das Tier vor Erschöpfung zusammenbricht, bietet ihm ein Zigeuner zwei Taler für das Pferd.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kleine,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,gleich,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,entscheiden,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,erst,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,später,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,angebot,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,zurückkommt,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,bietet,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,zigeuner,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,altes,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,fell,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,tier,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,enttäuscht,10,"Enttäuscht packt er das Fell in seinen Beutel und macht sich auf den Weg nach Hause, denn es ist spät geworden.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,packt,10,"Enttäuscht packt er das Fell in seinen Beutel und macht sich auf den Weg nach Hause, denn es ist spät geworden.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,fell,10,"Enttäuscht packt er das Fell in seinen Beutel und macht sich auf den Weg nach Hause, denn es ist spät geworden.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,beutel,10,"Enttäuscht packt er das Fell in seinen Beutel und macht sich auf den Weg nach Hause, denn es ist spät geworden.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,macht,10,"Enttäuscht packt er das Fell in seinen Beutel und macht sich auf den Weg nach Hause, denn es ist spät geworden.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,hause,10,"Enttäuscht packt er das Fell in seinen Beutel und macht sich auf den Weg nach Hause, denn es ist spät geworden.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,spät,10,"Enttäuscht packt er das Fell in seinen Beutel und macht sich auf den Weg nach Hause, denn es ist spät geworden.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,geworden,10,"Enttäuscht packt er das Fell in seinen Beutel und macht sich auf den Weg nach Hause, denn es ist spät geworden.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,mühle,11,"Als er an einer Mühle vorbeikommt und es zu regnen beginnt, bittet er um Unterschlupf.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,vorbeikommt,11,"Als er an einer Mühle vorbeikommt und es zu regnen beginnt, bittet er um Unterschlupf.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,regnen,11,"Als er an einer Mühle vorbeikommt und es zu regnen beginnt, bittet er um Unterschlupf.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,beginnt,11,"Als er an einer Mühle vorbeikommt und es zu regnen beginnt, bittet er um Unterschlupf.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,bittet,11,"Als er an einer Mühle vorbeikommt und es zu regnen beginnt, bittet er um Unterschlupf.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,unterschlupf,11,"Als er an einer Mühle vorbeikommt und es zu regnen beginnt, bittet er um Unterschlupf.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,müllerin,12,"Doch die Müllerin weist ihn ab, da sie angeblich allein ist und der Müller nicht im Hause.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,weist,12,"Doch die Müllerin weist ihn ab, da sie angeblich allein ist und der Müller nicht im Hause.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,ab,12,"Doch die Müllerin weist ihn ab, da sie angeblich allein ist und der Müller nicht im Hause.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,angeblich,12,"Doch die Müllerin weist ihn ab, da sie angeblich allein ist und der Müller nicht im Hause.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,allein,12,"Doch die Müllerin weist ihn ab, da sie angeblich allein ist und der Müller nicht im Hause.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,müller,12,"Doch die Müllerin weist ihn ab, da sie angeblich allein ist und der Müller nicht im Hause.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,hause,12,"Doch die Müllerin weist ihn ab, da sie angeblich allein ist und der Müller nicht im Hause.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kleine,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,heimlich,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,durchs,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,fenster,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,schaut,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,sieht,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,müllerin,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,reich,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,gedeckten,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,tisch,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,zusammen,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,liebhaber,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,unerwartet,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kehrt,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,müller,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,vorzeitig,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,zurück,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,müllerin,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,versteckt,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,liebhaber,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,truhe,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,schöne,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,essen,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,ofen,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,neutral
Andersen,Wikipedia,Der kleine und der große Klaus,müller,15,"Als der Müller den Kleinen Klaus vor dem Haus entdeckt, lädt er ihn mit zu sich ein.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kleinen,15,"Als der Müller den Kleinen Klaus vor dem Haus entdeckt, lädt er ihn mit zu sich ein.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,15,"Als der Müller den Kleinen Klaus vor dem Haus entdeckt, lädt er ihn mit zu sich ein.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,haus,15,"Als der Müller den Kleinen Klaus vor dem Haus entdeckt, lädt er ihn mit zu sich ein.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,entdeckt,15,"Als der Müller den Kleinen Klaus vor dem Haus entdeckt, lädt er ihn mit zu sich ein.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,lädt,15,"Als der Müller den Kleinen Klaus vor dem Haus entdeckt, lädt er ihn mit zu sich ein.",neutral
